,M03,M04,M05,M05_2,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44
U41_318eV.translationXerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U41_318eV.translationYerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U41_318eV.rotationXerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U41_318eV.rotationYerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASBL.totalWidth,2,4,4,4,0.2,0.2,0.2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ASBL.totalHeight,1,0.1,0.1,0.2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASBL.translationXerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15
ASBL.translationYerror,0,-0.05,-0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
M1_Cylinder.radius,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21
M1_Cylinder.rotationXerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804218181818182,0.0804218181818182,0.0804218181818182,0.0804218181818182,0.180949090909091,0.231212727272727,0.0301581818181818,0.130685454545455,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.0804218181818182
M1_Cylinder.rotationYerror,0,0,0,0,0,0.910918181818182,2.00402,2.00402,0,0,0,0,0,0,0,0,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545,0.728734545454545
M1_Cylinder.rotationZerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_Cylinder.translationXerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1_Cylinder.translationYerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SphericalGrating.radius,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791,109791
SphericalGrating.rotationYerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SphericalGrating.rotationZerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExitSlit.totalHeight,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.005,0.005,0.005,0.005,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
ExitSlit.translationZerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExitSlit.rotationZerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1.longHalfAxisA,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750,20750
E1.shortHalfAxisB,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601,302.721702601
E1.rotationXerror,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.08571428571429,-1.08571428571429,-0.371428571428571,-1.08571428571429,-1.08571428571429,-1.08571428571429,-1.08571428571429,-1.08571428571429,-1.08571428571429,-1.08571428571429,-1.08571428571429,-1.08571428571429,-1.18095238095238,-0.942857142857141,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-1.03809523809524,-0.990476190476192,-0.990476190476192,-0.990476190476192,-1.03809523809524,-1.03809523809524
E1.rotationYerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476190476190475,1.42857142857143,1.42857142857143,0,0,0,0,0
E1.rotationZerror,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,8.33333333333333,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,16.6666666666667,13.4615384615385,13.4615384615385,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,10.2564102564103,13.4615384615385,13.4615384615385,7.05128205128205,10.2564102564103,10.2564102564103
E1.translationYerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1.translationZerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2.longHalfAxisA,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375
E2.shortHalfAxisB,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104,97.1560870104
E2.rotationXerror,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.0714285714285699,0.0714285714285699,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.176190476190476,0.271428571428569,0.271428571428569,0.271428571428569,0.214285714285714,0.233333333333331,0.233333333333331,0.233333333333331,0.233333333333331,0.233333333333331,0.233333333333331,0.299999999999999,0.442857142857143,0.204761904761905,0.233333333333331,0.233333333333331
E2.rotationYerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42857142857143,0,0,0,0,0
E2.rotationZerror,25.5128205128205,25.5128205128205,25.5128205128205,25.5128205128205,25.5128205128205,25.5128205128205,25.5128205128205,25.5128205128205,25.5128205128205,25.5128205128205,25.5128205128205,25.5128205128205,25.5128205128205,25.5128205128205,23.3974358974359,25.2564102564103,25.2564102564103,25.2564102564103,25.2564102564103,25.2564102564103,25.2564102564103,25.2564102564103,25.2564102564103,25.2564102564103,25.2564102564103,25.2564102564103,25.2564102564103,25.2564102564103,25.2564102564103,25.2564102564103,25.2564102564103,25.2564102564103,28.4615384615385,31.6666666666667,22.0512820512821,25.2564102564103,25.2564102564103,25.2564102564103,22.0512820512821,28.4615384615385,25.2564102564103,25.2564102564103,25.2564102564103
E2.translationYerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2.translationZerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ImagePlane.translationXerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ImagePlane.translationYerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ImagePlane.translationZerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
